Timestamp	Betriebssystem	Programmierkenntnisse	Programmiersprachen	Mich interessieren besonders	Mich interessiert außerdem	Weitere Anmerkungen
11/07/2015 22:04:29	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++,java	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
13/07/2015 13:58:32	Arch	bereits in Python programmiert	C++, Java, JS, bash	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
13/07/2015 14:15:02	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++			
13/07/2015 14:16:03	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++			
13/07/2015 16:03:31	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java,C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
17/07/2015 10:39:08	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++ Objective-C Java			
20/07/2015 16:20:18	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
21/07/2015 02:33:22	Windows	noch nie Programmiert				
21/07/2015 22:07:31	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++, Java	Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
21/07/2015 22:08:43	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java, C++	Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		Ggf. Physik Vorkurs Übungen
22/07/2015 12:04:30	Arch	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)		Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
24/07/2015 11:01:31	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java, C++	Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
24/07/2015 18:25:09	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java , C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
26/07/2015 21:51:15	Ubuntu	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		Am 6.10. wäre morgens noch eine HöMa II Klausur von 8:00 - 9:30 Uhr. Wäre schön, wenn der Kurs dann etwas später stattfinden könnte.  Freundliche Grüße
28/07/2015 10:20:35	Windows	noch nie Programmiert		Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
30/07/2015 20:20:03	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java (BlueJ)	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
07/08/2015 10:53:04	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
09/08/2015 15:15:16	Windows	noch nie Programmiert				
09/08/2015 22:47:56	Windows	noch nie Programmiert				
20/08/2015 17:06:20	OS X	noch nie Programmiert				Für alle die in der O-Phase mithelfen:   Infocafé am 6.10.&8.10. ab 12.00Uhr ( geplant bis 15.00Uhr)
24/08/2015 15:59:06	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++, C#, TeX	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		Bin mir nicht sicher, ob ich nicht besser Linux installieren sollte.
26/08/2015 17:15:41	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
27/08/2015 18:18:41	Ubuntu	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	weitere bash bzw. programmier workshops	
31/08/2015 18:37:52	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
31/08/2015 18:37:55	Windows	noch nie Programmiert				
31/08/2015 19:24:32	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
01/09/2015 03:24:46	OS X	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Zusammenarbeit mittels Versionskontrolle (git)		
01/09/2015 08:46:44	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
03/09/2015 10:08:11	Ubuntu	bereits in Python programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
03/09/2015 21:07:02	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
05/09/2015 16:31:36	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Protokolle automatisiert und reproduzierbar erstellen (make)		Ich werde Dienstag früher gehen müssen (etwa 15:45 Uhr).
06/09/2015 10:00:04	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
08/09/2015 22:55:54	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	java, c, c++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	Verarbeitung großer Datenmengen	
09/09/2015 13:30:29	Windows	noch nie Programmiert				
09/09/2015 14:18:12	OS X	noch nie Programmiert		Protokolle automatisiert und reproduzierbar erstellen (make)		
16/09/2015 13:04:47	Windows	noch nie Programmiert	c/c++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Protokolle automatisiert und reproduzierbar erstellen (make)	Halt die Protokolle für das physikalische Praktikum möglichst mit minimalen Aufwand zu erstellen	
17/09/2015 19:52:17	Windows	noch nie Programmiert	c/c++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Protokolle automatisiert und reproduzierbar erstellen (make)	Halt die Protokolle für das physikalische Praktikum möglichst mit minimalen Aufwand zu erstellen	
17/09/2015 20:43:30	Windows	noch nie Programmiert			Was, wie und wofür	
18/09/2015 12:49:04	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy)		
18/09/2015 12:58:20	Windows	noch nie Programmiert				
20/09/2015 22:05:56	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	Problemorientiertes Programmieren	
22/09/2015 00:25:55	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Protokolle automatisiert und reproduzierbar erstellen (make)		
22/09/2015 19:27:21	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
22/09/2015 21:48:52	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
22/09/2015 22:59:10	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
27/09/2015 19:43:00	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
28/09/2015 19:30:43	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib)		
29/09/2015 13:42:10	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
01/10/2015 07:22:41	Windows	noch nie Programmiert				
01/10/2015 18:53:11	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
01/10/2015 19:06:59	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	c++	Protokolle automatisiert und reproduzierbar erstellen (make)		
01/10/2015 20:25:19	Windows	noch nie Programmiert		Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
02/10/2015 17:25:51	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++			
03/10/2015 19:22:30	Anderes Linux	bereits in Python programmiert				Bringt den Leuten mal bei, dass man bei Achsenbeschriftungen und Tabellenüberschriften die Einheit mit "/" abtrennt, nicht mit Klammern oder sonst was. Und wie man Einheiten in Gleichungen verwendet, siehe z.B. http://karriere.rohde-schwarz.de/fileadmin/customer/downloads/PDF/Der_korrekte_Umgang_mit_Groessen_Einheiten_und_Gleichungen_bro_de_01.pdf
03/10/2015 19:58:55	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
03/10/2015 20:35:59	Windows	noch nie Programmiert				
04/10/2015 09:42:19	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		
04/10/2015 12:50:17	Windows	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++			
04/10/2015 15:02:22	Windows	noch nie Programmiert				
04/10/2015 16:05:34	Windows	noch nie Programmiert		Vernünftige Plots erstellen (Python+matplotlib), Protokolle automatisiert und reproduzierbar erstellen (make)		
04/10/2015 18:47:14	Windows	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)		
04/10/2015 19:18:52	Windows	noch nie Programmiert				
04/10/2015 22:47:23	Arch	bereits in Python programmiert	C#, Prolog, C++, CSS, HTML			
04/10/2015 22:47:51	Windows	noch nie Programmiert	Fortran	Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)		